model,name,category,brand,voltage_class,rated_frequency,rated_voltage,rated_insulation_voltage,power_frequency_withstand_voltage,rated_impulse_withstand_voltage,rated_current,short_time_withstand_current,short_circuit_breaking_current,short_circuit_making_current,protection_degree,standard,dimension,capacity,scheme_options,raw_parameters,extra_notes
Schneider Blokset,AC low voltage switchgear,Switchgear / RMU,Schneider,Low Voltage (<=1kV),AC 50Hz / 60Hz,400V/ 690V,1000V,,,7000A,,,,IP20~ IP54,IEC 61439-1 & 2,2200H *500/ 600/ 700/ 800/ 900/ 1000/ 1100/ 1200/ 1300W *400/ 600/ 1000D (mm),,,Model: Schneider Blokset | Name: AC low voltage switchgear | Rated frequency: AC 50Hz / 60Hz | Rated voltage (Ue): 400V/ 690V | Rated insulation voltage(Ui): 1000V | Horizontal Busbar Rated c (Ir): 7000A | Vertical Bus Rated current (Ir): 3200A | Horizontal Busbar Short time withstand c (Icw) (4s): 30kA 50kA 85kA 100kA | Vertical Bus Short time withstand current (Icw) (4s): 30kA 50kA 85kA | Functional units: withdrawble/ fixed | Protect Degree: IP20~ IP54 | Internal arcing protect IEC61641: 85kA 0.4s | Standard: IEC 61439-1 & 2 | Dimension: 2200H *500/ 600/ 700/ 800/ 900/ 1000/ 1100/ 1200/ 1300W *400/ 600/ 1000D (mm),Vertical Bus Rated current (Ir): 3200A | Horizontal Busbar Short time withstand c (Icw) (4s): 30kA 50kA 85kA 100kA | Vertical Bus Short time withstand current (Icw) (4s): 30kA 50kA 85kA | Functional units: withdrawble/ fixed | Internal arcing protect IEC61641: 85kA 0.4s
SCHNEIDER Prisma iPM WM,AC low voltage power distribution box,Distribution Box,Schneider,Low Voltage (<=1kV),AC 50Hz / 60Hz,380V,400V,,,250A,6kA(1s),,,IP30,IEC 61439-1 & 2,1300/ 1100/ 900/ 700/ 500/ 300H *600W *235D (mm),,,"Model: SCHNEIDER Prisma iPM WM | Name: AC low voltage power distribution box | Rated frequency: AC 50Hz / 60Hz | Rated voltage (Ue): 380V | Rated insulation voltage(Ui): 400V | Rated current (Ir): 250A | Short time withstand current (Icw): 6kA(1s) | Standardized design, compact structure and versatility | Modular design | Protect Degree: IP30 | Standard: IEC 61439-1 & 2 | Dimension: 1300/ 1100/ 900/ 700/ 500/ 300H *600W *235D (mm)","Standardized design, compact structure and versatility | Modular design"
YBM27-40.5/12kV,intelligent prefabricated transformer substation,Distribution Transformer,Zhebao,Medium Voltage (3.6-24kV),,,,,,,,,,,,,,,Model: YBM27-40.5/12kV | Name: intelligent prefabricated transformer substation,
YBM27-12/0.4kV,transformer substation with wooden decor enclosure,Distribution Transformer,Zhebao,,,,,,,,,,,,,,,,Model: YBM27-12/0.4kV | Name: transformer substation with wooden decor enclosure,
DFW-12kV,outdoor cable distribution branch box,Other,Zhebao,Medium Voltage (3.6-24kV),,,,,,,,,,,,,,,Model: DFW-12kV | Name: outdoor cable distribution branch box,
XGW-12kV,outdoor RMU sub section post,Switchgear / RMU,Zhebao,Medium Voltage (3.6-24kV),,,,,,,,,,,,,,,Model: XGW-12kV | Name: outdoor RMU sub section post,
ZBK6,safety extinguishing control box,Other,Zhebao,,,,,,,,,,,,,,,,Model: ZBK6 | Name: safety extinguishing control box,
ZBL,motive electricity cabinet,Other,Zhebao,,,,,,,,,,,,,,,,Model: ZBL | Name: motive electricity cabinet,
ZBX1,ZBX1 general terminal distribution box,Distribution Box,Zhebao,,,,,,,,,,,,,,,,Model: ZBX1 | Name: ZBX1 general terminal distribution box,
ZBX4,ZBX4 high protection terminal box,Distribution Box,Zhebao,,,,,,,,,,,,,,,,Model: ZBX4 | Name: ZBX4 high protection terminal box,
ZBX5,ZBX5 ribs type distribution box,Distribution Box,Zhebao,,,,,,,,,,,,,,,,Model: ZBX5 | Name: ZBX5 ribs type distribution box,
ZBX6,ZBX6 power switch box,Other,Zhebao,,,,,,,,,,,,,,,,Model: ZBX6 | Name: ZBX6 power switch box,
ZBX7,ZBX7 outlet socket box,Distribution Box,Zhebao,,,,,,,,,,,,,,,,Model: ZBX7 | Name: ZBX7 outlet socket box,
ZBX9,ZBX9 dual power switching box,Other,Zhebao,,,,,,,,,,,,,,,,Model: ZBX9 | Name: ZBX9 dual power switching box,
ZBX11,ZBX11 rain proof distribution box,Distribution Box,Zhebao,,,,,,,,,,,,,,,,Model: ZBX11 | Name: ZBX11 rain proof distribution box,
ZBF(R)N-12D,Indoor HV SF6 load switch,SF6 Load Break Switch,Zhebao,,,12kV,,42/48kV,75/85kV,,,,expected 31.5kA for fuse comb,,,,,,Model: ZBF(R)N-12D | Name: Indoor HV SF6 load switch | Rated voltage Ur: 12kV | Rated power frequency withstand voltage Ud (1min) : 42/48kV | Rated impulse withstand voltage: 75/85kV | Rated short circuit making current  Ima: expected 31.5kA for fuse comb | Life time load switch / disconnecting switch: 5000times | Life time earthing switch: 2000times | Leakage percentage per year: ≦0.5%,Life time load switch / disconnecting switch: 5000times | Life time earthing switch: 2000times | Leakage percentage per year: ≦0.5%
ZBF(R)N-24D,Indoor HV SF6 LBS-Fuse Combination,SF6 Load Break Switch,Zhebao,,,24kV,,65/79kV,125/145kV,,,,50kA,,,,,,Model: ZBF(R)N-24D | Name: Indoor HV SF6 LBS-Fuse Combination | Rated voltage Ur: 24kV | Rated power frequency withstand voltage Ud (1min) : 65/79kV | Rated impulse withstand voltage: 125/145kV | Rated short circuit making current  Ima: 50kA | Life time load switch / disconnecting switch: 5000/2000times | Life time earthing switch: 2000times | Leakage percentage per year: ≦0.1%,Life time load switch / disconnecting switch: 5000/2000times | Life time earthing switch: 2000times | Leakage percentage per year: ≦0.1%
ZBFV-24D,Indoor HV SF6 VCB Earthing Combination,Circuit Breaker,Zhebao,,,24kV,,65/79kV,125/145kV,,,20kA,50kA,,,,,,Model: ZBFV-24D | Name: Indoor HV SF6 VCB Earthing Combination | Rated voltage Ur: 24kV | Rated power frequency withstand voltage Ud (1min) : 65/79kV | Rated impulse withstand voltage: 125/145kV | Rated short circuit making current  Ima: 50kA | Rated short circuit drop out current  Isc: 20kA | Life time load switch / disconnecting switch: 2000times | Life time earthing switch: 2000times | Life time VCB: 10000times | Leakage percentage per year: ≦0.1%,Life time load switch / disconnecting switch: 2000times | Life time earthing switch: 2000times | Life time VCB: 10000times | Leakage percentage per year: ≦0.1%
ZBF12~24kV Central Assy,SF6 Co-cubicle Central Assembly for compact gas insulated cabinet,SF6 Load Break Switch,Zhebao,Medium Voltage (3.6-24kV),,,,,,,,,,,,,,,Model: ZBF12~24kV Central Assy | Name: SF6 Co-cubicle Central Assembly for compact gas insulated cabinet,
ZBK-12,AC High Voltage Fast Vacuum Circuit Breaker (FVCB),Circuit Breaker,Zhebao,,,12kV,,42kV,75kV,630A 1250A 1600A,25kA 31.5kA,25kA 31.5kA,,,"IEC62271-100, IEC60694",,,,"Model: ZBK-12 | Name: AC High Voltage Fast Vacuum Circuit Breaker (FVCB) | Rated voltage (Ue): 12kV | Power frequency withstand voltage (1min): 42kV | Rated impulse withstand voltage (Uimp): 75kV | Rated current (Ir): 630A 1250A 1600A | Short time withstand current (Icw) (4s): 25kA 31.5kA | Short circuit drop-out c: 25kA 31.5kA | Phase spacing: 150/ 210/ 275mm | Install mode: trolley, fixed | Embedded pole column | Permanent magnetic operating mechanism 30k times | Closing time ≦10ms, open ≦3ms | Applicable for flexible power supply | Standard: IEC62271-100, IEC60694","Phase spacing: 150/ 210/ 275mm | Install mode: trolley, fixed | Embedded pole column | Permanent magnetic operating mechanism 30k times | Closing time ≦10ms, open ≦3ms | Applicable for flexible power supply"
,VCB for KYN28-12 MV Switchgear,Circuit Breaker,Zhebao,,,,,,,,,,,,,,,,Name: VCB for KYN28-12 MV Switchgear,
ZBP-40.5,AC High Voltage Embedded Pole Vacuum Circuit Breaker (VCB),Circuit Breaker,Zhebao,,AC 50Hz / 60Hz,40.5kV,,95kV,185kV,630A 1250A 1600A 2000A 2500A,25kA 31.5kA,25kA 31.5kA,,,"IEC62271-100, IEC60694",,,,"Model: ZBP-40.5 | Name: AC High Voltage Embedded Pole Vacuum Circuit Breaker (VCB) | Rated frequency: AC 50Hz / 60Hz | Rated voltage (Ue): 40.5kV | Power frequency withstand voltage (1min): 95kV | Rated impulse withstand voltage (Uimp): 185kV | Rated current (Ir): 630A 1250A 1600A 2000A 2500A | Short time withstand current (Icw) (4s): 25kA 31.5kA | Short circuit drop-out current: 25kA 31.5kA | Phase spacing: 275/ 280/ 300mm | Install mode: trolley, fixed | Embedded pole column | Spring operating mechanism 20k time | Standard: IEC62271-100, IEC60694","Phase spacing: 275/ 280/ 300mm | Install mode: trolley, fixed | Embedded pole column | Spring operating mechanism 20k time"
ZN85A-40.5,AC High Voltage Vacuum Circuit Breaker (VCB),Circuit Breaker,Zhebao,,AC 50Hz / 60Hz,40.5kV,,95kV,185kV,630A 1250A 1600A 2000A 2500A,25kA 31.5kA,25kA 31.5kA,,,"IEC62271-100, IEC60694",,,,"Model: ZN85A-40.5 | Name: AC High Voltage Vacuum Circuit Breaker (VCB) | Rated frequency: AC 50Hz / 60Hz | Rated voltage (Ue): 40.5kV | Power frequency withstand voltage (1min): 95kV | Rated impulse withstand voltage (Uimp): 185kV | Rated current (Ir): 630A 1250A 1600A 2000A 2500A | Short time withstand current (Icw) (4s): 25kA 31.5kA | Short circuit drop-out current: 25kA 31.5kA | Phase spacing: 280/ 300mm | Install mode: trolley, fixed | Common insulating tube structure | Spring operating mechanism 10k time | Standard: IEC62271-100, IEC60694","Phase spacing: 280/ 300mm | Install mode: trolley, fixed | Common insulating tube structure | Spring operating mechanism 10k time"
ZBP-24,AC High Voltage Vacuum Circuit Breaker (VCB),Circuit Breaker,Zhebao,,AC 50Hz / 60Hz,24kV,,65kV,125kV,630A 1250A 1600A 2000A 2500A,20kA 25kA 31.5kA,20kA 25kA 31.5kA,,,"IEC62271-100, IEC60694",,,,"Model: ZBP-24 | Name: AC High Voltage Vacuum Circuit Breaker (VCB) | Rated frequency: AC 50Hz / 60Hz | Rated voltage (Ue): 24kV | Power frequency withstand voltage (1min): 65kV | Rated impulse withstand voltage (Uimp): 125kV | Rated current (Ir): 630A 1250A 1600A 2000A 2500A | Short time withstand current (Icw) (4s): 20kA 25kA 31.5kA | Short circuit drop-out current: 20kA 25kA 31.5kA | Phase spacing: 210/ 275mm | Install mode: trolley, fixed | Embedded pole column | Spring operating mechanism 30k time | Standard: IEC62271-100, IEC60694","Phase spacing: 210/ 275mm | Install mode: trolley, fixed | Embedded pole column | Spring operating mechanism 30k time"
ZBP-12,AC High Voltage Vacuum Circuit Breaker (VCB),Circuit Breaker,Zhebao,,AC 50Hz / 60Hz,12kV,,42kV,75kV,630A 1250A 1600A 2000A 2500A 3150A 4000A,25kA 31.5kA 40kA,25kA 31.5kA 40kA,,,"IEC62271-100, IEC60694",,,,"Model: ZBP-12 | Name: AC High Voltage Vacuum Circuit Breaker (VCB) | Rated frequency: AC 50Hz / 60Hz | Rated voltage (Ue): 12kV | Power frequency withstand voltage (1min): 42kV | Rated impulse withstand voltage (Uimp): 75kV | Rated current (Ir): 630A 1250A 1600A 2000A 2500A 3150A 4000A | Short time withstand current (Icw) (4s): 25kA 31.5kA 40kA | Short circuit drop-out current: 25kA 31.5kA 40kA | Phase spacing: 150/ 210/ 275mm | Install mode: trolley, fixed | Embedded pole column | Spring operating mechanism 30k time | Standard: IEC62271-100, IEC60694","Phase spacing: 150/ 210/ 275mm | Install mode: trolley, fixed | Embedded pole column | Spring operating mechanism 30k time"
"ZN63A-12 (VS1), (24kV avl)",AC High Voltage Vacuum Circuit Breaker (VCB),Circuit Breaker,Zhebao,Medium Voltage (3.6-24kV),AC 50Hz / 60Hz,12kV,,42kV,75kV,630A 1250A 1600A 2000A 2500A 3150A 4000A,25kA 31.5kA 40kA,25kA 31.5kA 40kA,,,"IEC62271-100, IEC60694",,,,"Model: ZN63A-12 (VS1), (24kV avl) | Name: AC High Voltage Vacuum Circuit Breaker (VCB) | Rated frequency: AC 50Hz / 60Hz | Rated voltage (Ue): 12kV | Power frequency withstand voltage (1min): 42kV | Rated impulse withstand voltage (Uimp): 75kV | Rated current (Ir): 630A 1250A 1600A 2000A 2500A 3150A 4000A | Short time withstand current (Icw) (4s): 25kA 31.5kA 40kA | Short circuit drop-out current: 25kA 31.5kA 40kA | Phase spacing: 150/ 210/ 275mm | Install mode: trolley, fixed | Common insulating tube structure | Spring operating mechanism 10k time | Standard: IEC62271-100, IEC60694","Phase spacing: 150/ 210/ 275mm | Install mode: trolley, fixed | Common insulating tube structure | Spring operating mechanism 10k time"
LZZW-35kV,"Outdoor Current Transformer, (CT)",Outdoor Primary Equipment,Zhebao,Medium Voltage (3.6-24kV),,,,,,,,,,,,,,,"Model:  LZZW-35kV | Name: Outdoor Current Transformer, (CT) | Rated insulation: 40.5/95/185kV | Rated Secondary current: 5A",Rated insulation: 40.5/95/185kV | Rated Secondary current: 5A
JDZX-35kV,"Outdoor Voltage Transformer, Power Transformer (VT, PT)",Outdoor Primary Equipment,Zhebao,Medium Voltage (3.6-24kV),,,,,,,,,,,,,,,"Model: JDZX-35kV | Name: Outdoor Voltage Transformer, Power Transformer (VT, PT) | Rated insulation: 40.5/95/200kV | Voltage Ratio: 33000/√3/110/√3/110√3,  35000/√3/100/√3/100/3","Rated insulation: 40.5/95/200kV | Voltage Ratio: 33000/√3/110/√3/110√3,  35000/√3/100/√3/100/3"
JLSZY-35kV,Outdoor CT VT combined instrument transformers (w/ metering),Outdoor Primary Equipment,Zhebao,Medium Voltage (3.6-24kV),,,,,,,,,,,,,,,Model: JLSZY-35kV | Name: Outdoor CT VT combined instrument transformers (w/ metering) | Current Ratio: 400-800-1200/5A | Voltage Ratio: 33kV/3，110V/3,Current Ratio: 400-800-1200/5A | Voltage Ratio: 33kV/3，110V/3
ZW7-40.5kV,Outdoor High Voltage Vacuum Circuit Breaker (HV VCB),Circuit Breaker,Zhebao,High Voltage (40.5kV),,,,,,"630A, up to 1600A",,20kA/25kA/31.5kA,,,,,,,"Model: ZW7-40.5kV | Name: Outdoor High Voltage Vacuum Circuit Breaker (HV VCB) | Rated current: 630A, up to 1600A | Short circuit breaking current: 20kA/25kA/31.5kA",
GW4-40.5kV,Outdoor High Voltage Disconnect Switch with Earth Switch,Outdoor Primary Equipment,Zhebao,High Voltage (40.5kV),,,,,,"630A, up to 1600A",,20kA/25kA/31.5kA,,,,,,,"Model: GW4-40.5kV | Name: Outdoor High Voltage Disconnect Switch with Earth Switch | Rated current: 630A, up to 1600A | Short circuit breaking current: 20kA/25kA/31.5kA",
YH10WZ-45,Outdoor Gapless Metal Oxide Surge Arrestor (SA),Outdoor Primary Equipment,Zhebao,,AC 50Hz / 60Hz,,,,,,,,,,,,,,Model: YH10WZ-45 | Name: Outdoor Gapless Metal Oxide Surge Arrestor (SA) | Rated frequency: AC 50Hz / 60Hz | Square wave capacity: 600A,Square wave capacity: 600A
PK-10,Feeder Protection and Control Panel with Metering,Other,Zhebao,,,,,,,,,,,,,,,,"Model: PK-10 | Name: Feeder Protection and Control Panel with Metering | Auxiliary supply: 110V DC, | Cubicle lighting/heating rated: 230V AC","Auxiliary supply: 110V DC, | Cubicle lighting/heating rated: 230V AC"
SCB10,Indoor Dry Type Cast Resin DISTRIBUTION TRANSFORMER (TR),Distribution Transformer,Zhebao,,,,,,,,,,,,,,30--3150KVA,,Model: SCB10 | Name: Indoor Dry Type Cast Resin DISTRIBUTION TRANSFORMER (TR) | Capacity: 30--3150KVA,
V-CD,Intelligent PhotoVoltaic Lightning Protection DC Combiner Box (Solar Energy PV Combiner),Other,Zhebao,,,,,,,10A,,,,,,,,,Model: V-CD | Name: Intelligent PhotoVoltaic Lightning Protection DC Combiner Box (Solar Energy PV Combiner) | Max Input Voltage: DC1000V | Circuit Current: 10A,Max Input Voltage: DC1000V
"ZBW1, ZBW2",ZBW1 Intelligent LV Air Circuit Breaker (ACB),Circuit Breaker,Zhebao,Low Voltage (<=1kV),,,,,,,,,,,,,,,"Model: ZBW1, ZBW2 | Name: ZBW1 Intelligent LV Air Circuit Breaker (ACB) | ZBW2 Intelligent LV Air Circuit Breaker",ZBW2 Intelligent LV Air Circuit Breaker
"ZBM1, ZBM3",ZBM1 MCCB (molded case circuit breaker),Circuit Breaker,Zhebao,,,,,,,,,,,,,,,,"Model: ZBM1, ZBM3 | Name: ZBM1 MCCB (molded case circuit breaker) | ZBM1L, ZBM3L Residual MCCB","ZBM1L, ZBM3L Residual MCCB"
"ZBM1E, ZBM3E",ZBM1E electronic MCCB,Circuit Breaker,Zhebao,,,,,,,,,,,,,,,,"Model: ZBM1E, ZBM3E | Name: ZBM1E electronic MCCB",
ZBQ,ZBQ Dual-power automatic switch,Other,Zhebao,,,,,,,,,,,,,,,,Model: ZBQ | Name: ZBQ Dual-power automatic switch,
ZBG,ZBG isolator switch,Other,Zhebao,,,,,,,,,,,,,,,,Model: ZBG | Name: ZBG isolator switch,
ZBG1,ZBG1-100 miniture isolator switch,Other,Zhebao,,,,,,,,,,,,,,,,Model: ZBG1 | Name: ZBG1-100 miniture isolator switch,
ZBB1,ZBB1 MCB,Other,Zhebao,,,,,,,,,,,,,,,,Model: ZBB1 | Name: ZBB1 MCB,
ZBB2,ZBB2x RCCB (Residual Current actuated Circuit Breaker),Circuit Breaker,Zhebao,,,,,,,,,,,,,,,,Model: ZBB2 | Name: ZBB2x RCCB (Residual Current actuated Circuit Breaker),
"ZBU1, ZBU2",ZBU surge protector,Other,Zhebao,,,,,,,,,,,,,,,,"Model: ZBU1, ZBU2 | Name: ZBU surge protector",
